code;libelle;definition
ADR;ARMOIRE DE RUE;""
BAT;BATIMENT;""
CHV;CHAMBRE VISITABLE;Chambre accueillant au moins une baie, donc traitee comme un site technique. 
COF;COFFRET;Notamment coffrets qui peuvent etre fixes sur des appuis et qui font office d armoires. 
SHE;SHELTER;""
STR;CONSTRUCTION SOUTERRAINE;Espace souterrain amenage et visitable comportant un ou plusieurs locaux techniques et accueillant au moins une baie. 
