code;libelle;definition
AB;ABONNE;Logement dont l occupant a souscrit un abonnement a une offre d un operateur commercial sur un reseau en fibre optique jusqu a l abonne. (Interop:EtatImmeuble)
RA;RACCORDE;Logement pour lequel il existe une continuite entre le PM et la PTO. (Interop:EtatImmeuble) 
RB;RACCORDABLE;Logement pour lequel il existe une continuite optique entre le PM et le PBO, ou entre le PM et la PTO si le PBO est absent. (Interop:EtatImmeuble)
RD;RACCORDABLE SUR DEMANDE;Deploiement differe de PBO sous certaines conditions. (Interop:EtatImmeuble)
RC;RAD EN COURS DE DEPLOIEMENT;RAD en cours de deploiement : signifie qu une commande de PB a ete transmise par un OC sur une adresse raccordable a la demande. Toutes les adresses connues de la zone arriere du PB passent a cet etat.  (Interop:EtatImmeuble)
EL;ELIGIBLE;Logement pour lequel au moins un operateur a relie le point de mutualisation a son NRO, et pour lequel il manque seulement le racco final et un eventuel  brassage au PM pour avoir une continuite optique entre le NRO et la PTO. (Interop:EtatImmeuble)
EM;ELIGIBLE MUTUALISE;Logement eligible pour lequel plusieurs operateurs ont relie le PM a leur NRO. (Interop:EtatImmeuble)
PR;PROGRAMME;Logement situe dans la zone arriere d un PM pour lequel le PM a ete installe et mis  a disposition des operateurs tiers, au sens de l annexe OO de la decision 2009-1106. (Interop:EtatImmeuble)
