code;libelle;definition
E;EXISTANT;""
P;PRE-ETUDE;Modelisation temporaire dans l attente d une etude detaillee.
C;A CREER;""
T;TRAVAUX;""
S;EN SERVICE;""
H;HORS SERVICE;""
A;ABANDONNE;""
