code;libelle;definition
R;FTTH;Fibrer To The Home
P;FTTH PRO;Fibrer To The Home Pro
E;FTTE;Fiber To The Entreprise
U;GFU;Groupement Ferme d Utilisateurs. 
O;FTTO;Fiber To The Office
N;FON;Fibre optique noire. 
